player,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PER
Steven Adams,203500,21900949,3/8/2020,OKC @ BOS,W,26,1,2,0.5,0,0,0,4,8,0.5,0,6,6,1,3,1,1,1,6,4,15.63326923
Steven Adams,203500,21900932,3/6/2020,OKC @ NYK,W,24,5,8,0.625,0,0,0,2,2,1,6,5,11,1,0,2,0,0,12,14,34.47508333
Steven Adams,203500,21900918,3/4/2020,OKC @ DET,W,32,4,5,0.8,0,0,0,0,3,0,0,7,7,3,3,1,5,1,8,2,11.41809375
Steven Adams,203500,21900912,3/3/2020,OKC vs. LAC,L,27,2,6,0.333,0,0,0,0,2,0,5,5,10,2,0,0,1,5,4,-17,6.442592593
Steven Adams,203500,21900882,2/28/2020,OKC @ MIL,L,17,4,5,0.8,0,0,0,0,0,0,1,6,7,3,1,0,1,1,8,-5,30.51405882
Steven Adams,203500,21900875,2/27/2020,OKC vs. SAC,W,28,7,9,0.778,0,0,0,1,2,0.5,6,1,7,1,0,0,1,2,15,-10,26.64367857
Steven Adams,203500,21900859,2/25/2020,OKC @ CHI,W,28,6,8,0.75,0,0,0,4,6,0.667,5,4,9,2,3,3,1,1,16,11,39.87857143
Steven Adams,203500,21900846,2/23/2020,OKC vs. SAS,W,27,8,12,0.667,0,0,0,5,6,0.833,3,11,14,0,1,0,1,0,21,7,37.92596296
Steven Adams,203500,21900831,2/21/2020,OKC vs. DEN,W,32,7,14,0.5,0,0,0,5,6,0.833,7,10,17,2,4,2,0,0,19,9,41.43425
Steven Adams,203500,21900819,2/13/2020,OKC @ NOP,W,28,5,10,0.5,1,1,1,0,1,0,3,8,11,2,1,3,1,4,11,9,22.09714286
Steven Adams,203500,21900805,2/11/2020,OKC vs. SAS,L,32,4,9,0.444,0,0,0,2,2,1,3,7,10,2,4,1,4,5,10,1,15.14290625
Steven Adams,203500,21900786,2/9/2020,OKC vs. BOS,L,30,2,10,0.2,0,1,0,0,0,0,5,6,11,2,0,1,2,3,4,8,3.057333333
Steven Adams,203500,21900773,2/7/2020,OKC vs. DET,W,29,7,10,0.7,0,0,0,2,2,1,2,6,8,3,0,1,3,3,16,-9,23.24551724
Steven Adams,203500,21900760,2/5/2020,OKC vs. CLE,W,30,2,5,0.4,0,0,0,2,3,0.667,1,7,8,3,0,0,1,2,6,2,9.5258
Steven Adams,203500,21900725,1/31/2020,OKC @ PHX,W,23,4,6,0.667,0,0,0,0,0,0,4,1,5,2,2,1,4,5,8,-11,15.28726087
Steven Adams,203500,21900713,1/29/2020,OKC @ SAC,W,26,2,5,0.4,0,0,0,4,4,1,5,3,8,1,1,1,0,2,8,14,22.11988462
Steven Adams,203500,21900697,1/27/2020,OKC vs. DAL,L,24,4,5,0.8,0,0,0,1,2,0.5,0,5,5,4,0,0,0,2,9,-3,21.21245833
Steven Adams,203500,21900683,1/25/2020,OKC @ MIN,W,23,0,2,0,0,0,0,0,0,0,0,1,1,2,0,4,1,4,0,1,1.732521739
Steven Adams,203500,21900645,1/20/2020,OKC @ HOU,W,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-59.281
Steven Adams,203500,21900635,1/18/2020,OKC vs. POR,W,24,1,7,0.143,0,0,0,3,4,0.75,5,4,9,3,0,0,3,2,5,20,5.582666667
Steven Adams,203500,21900609,1/15/2020,OKC vs. TOR,L,7,1,1,1,0,0,0,0,0,0,0,2,2,1,1,0,1,0,2,-2,21.42871429
Steven Adams,203500,21900594,1/13/2020,OKC @ MIN,W,29,5,7,0.714,0,0,0,3,4,0.75,4,7,11,5,1,3,2,1,13,8,32.80024138
Steven Adams,203500,21900580,1/11/2020,OKC vs. LAL,L,29,6,10,0.6,0,0,0,0,0,0,2,6,8,1,2,1,1,0,12,-12,22.5202069
Steven Adams,203500,21900566,1/9/2020,OKC vs. HOU,W,25,6,8,0.75,0,0,0,3,4,0.75,1,7,8,3,1,0,1,1,15,17,31.4608
Steven Adams,203500,21900550,1/7/2020,OKC @ BKN,W,36,3,5,0.6,0,0,0,4,7,0.571,4,14,18,3,2,0,2,0,10,17,21.47627778
Steven Adams,203500,21900541,1/6/2020,OKC @ PHI,L,35,9,14,0.643,0,0,0,6,8,0.75,9,6,15,1,0,2,1,1,24,-4,37.17331429
Steven Adams,203500,21900527,1/4/2020,OKC @ CLE,W,30,2,7,0.286,0,0,0,6,7,0.857,8,8,16,4,1,1,1,1,10,15,27.62496667
Steven Adams,203500,21900514,1/2/2020,OKC @ SAS,W,30,5,8,0.625,0,0,0,4,6,0.667,4,5,9,3,0,1,1,4,14,8,23.67003333
Steven Adams,203500,21900503,12/31/2019,OKC vs. DAL,W,25,4,7,0.571,0,0,0,2,4,0.5,4,7,11,2,1,0,1,5,10,3,20.91084
Steven Adams,203500,21900486,12/29/2019,OKC @ TOR,W,29,2,7,0.286,0,0,0,5,6,0.833,4,2,6,0,2,1,1,0,9,0,16.18155172
Steven Adams,203500,21900467,12/27/2019,OKC @ CHA,W,34,6,9,0.667,0,0,0,2,4,0.5,4,8,12,3,2,2,2,2,14,1,25.70226471
Steven Adams,203500,21900462,12/26/2019,OKC vs. MEM,L,28,7,10,0.7,0,0,0,2,4,0.5,2,4,6,4,1,1,0,3,16,8,30.52817857
Steven Adams,203500,21900442,12/22/2019,OKC vs. LAC,W,31,10,15,0.667,0,0,0,0,2,0,6,11,17,2,3,0,1,2,20,-4,37.50596774
Steven Adams,203500,21900426,12/20/2019,OKC vs. PHX,W,26,5,6,0.833,0,0,0,0,0,0,3,6,9,2,0,2,3,2,10,8,21.07180769
Steven Adams,203500,21900412,12/18/2019,OKC vs. MEM,W,30,6,7,0.857,0,0,0,1,4,0.25,3,7,10,5,0,0,3,2,13,8,22.02356667
Steven Adams,203500,21900399,12/16/2019,OKC vs. CHI,W,28,4,8,0.5,0,0,0,1,2,0.5,6,5,11,1,0,1,4,1,9,1,12.97907143
Steven Adams,203500,21900387,12/14/2019,OKC @ DEN,L,31,9,15,0.6,0,0,0,0,2,0,6,8,14,0,0,2,1,4,18,-10,26.01454839
Steven Adams,203500,21900365,12/11/2019,OKC @ SAC,L,28,5,10,0.5,0,0,0,2,5,0.4,5,5,10,4,0,2,1,1,12,-3,24.37567857
Steven Adams,203500,21900350,12/9/2019,OKC @ UTA,W,28,4,4,1,0,0,0,3,4,0.75,2,11,13,4,0,4,2,1,11,14,31.24075
Steven Adams,203500,21900341,12/8/2019,OKC @ POR,W,28,2,6,0.333,0,0,0,2,2,1,4,5,9,4,0,0,1,1,6,5,14.52435714
Steven Adams,203500,21900326,12/6/2019,OKC vs. MIN,W,36,9,13,0.692,0,1,0,4,8,0.5,6,5,11,2,2,4,2,4,22,5,33.04275
Steven Adams,203500,21900312,12/4/2019,OKC vs. IND,L,29,8,8,1,0,0,0,4,4,1,5,4,9,3,0,2,2,2,20,-2,40.33472414
Steven Adams,203500,21900289,12/1/2019,OKC @ NOP,W,28,6,7,0.857,0,0,0,5,6,0.833,2,8,10,2,1,2,1,3,17,2,35.09471429
Steven Adams,203500,21900275,11/29/2019,OKC vs. NOP,W,24,7,11,0.636,0,0,0,0,0,0,3,9,12,2,1,2,0,2,14,4,35.90941667
Steven Adams,203500,21900265,11/27/2019,OKC @ POR,L,25,4,7,0.571,0,0,0,0,0,0,1,5,6,3,0,0,1,1,8,-19,14.8702
Steven Adams,203500,21900250,11/25/2019,OKC @ GSW,W,28,4,6,0.667,0,0,0,2,4,0.5,4,6,10,5,0,3,2,1,10,10,26.06275
